recipe_ingredient_id,recipe_id,ingredient_id,quantity
1,1,318,75g(3/4모)
2,1,184,20g(5마리)
3,1,132,30g(1/2개)
4,1,91,13g(1큰술)
5,1,28,5g(1작은술)
6,1,76,5g(1작은술)
7,1,319,10g(3줄기)
8,2,145,50g
9,2,19,7g(1⅓작은술)
10,2,171,3g(2/3작은술)
11,2,90,5g(1작은술)
12,2,26,2g(1/2쪽)
13,2,52,2g(1/3작은술)
14,2,252,2g(1/3작은술)
15,2,108,2g(1/3작은술)
16,2,202,약간
17,3,257,150g(5개)
18,3,277,10g(3×1cm)
19,3,1,10g(5줄기)
20,3,52,4g(1작은술)
21,3,64,3g(2/3작은술)
22,3,26,2.5g(1/2쪽)
23,3,218,2g(1/3작은술)
24,3,28,2g(1/3작은술)
25,3,230,2ml(1/3작은술)
26,3,239,약간
27,4,308,70g(1/3개)
28,4,222,10g(1큰술)
29,4,115,40g(1/8봉지)
30,4,309,50g(1/3개)
31,5,121,25g(15개)
32,5,165,10g(3마리)
33,5,309,30g(1/5개)
34,5,277,40g(1/4개)
35,5,179,20g(2장)
36,5,230,300ml(1½컵)
37,6,372,15g(10개)
38,6,327,30g(1/6봉지)
39,6,219,30g(5×3×2cm)
40,6,328,10g(2작은술)
41,6,230,300ml(1½컵)
42,6,47,5g(1/2개)
43,6,26,2g(1/3작은술)
44,7,200,20g(2×2×2cm)
45,7,42,20g(4가닥)
46,7,284,10g(4×3×1cm)
47,7,277,10g(2×1cm)
48,7,18,10g(5cm)
49,7,194,5g(1작은술)
50,7,230,300ml(1½컵)
51,8,154,5g(3마리)
52,8,158,1장(5×1cm)
53,8,277,10g(2×1cm)
54,8,179,기둥
55,8,160,5g(1작은술)
56,8,230,300ml(1½컵)
57,8,276,20g(1개)
58,8,179,20g(2장)
59,8,26,2g(1/3작은술)
60,9,92,30g(10줄기)
61,9,167,15g(5×3cm)
62,9,277,10g(2×1cm)
63,9,41,5g(3×1×1cm)
64,9,265,10g(2작은술)
65,9,312,5g(1작은술)
66,9,28,5g(1작은술)
67,9,306,5g(1쪽)
68,10,329,70g(7개)
69,10,69,85g(1개)
70,10,125,70g(2장)
71,10,209,30g(3개)
72,10,67,15g(1큰술)
73,10,312,약간
74,10,324,약간
75,11,284,80g(1/2개)
76,11,259,5g(1작은술)
77,11,185,2g(1알)
78,11,28,2g(1/3작은술)
79,11,43,3g
80,11,92,약간
81,11,319,10g
82,11,78,10g(2작은술)
83,12,99,70g(7개)
84,12,265,10g(2작은술)
85,12,92,10g(3줄기)
86,12,318,30g(1/4모)
87,12,161,10g(2작은술)
88,12,162,10g(2작은술)
89,12,265,2g(1/3작은술)
90,12,312,5g(1작은술)
91,12,129,3g(2/3작은술)
92,12,278,3g(2/3작은술)
93,12,299,2g(1/3작은술)
94,12,6,약간
95,13,317,20g(3cm)
96,13,137,50g(1/3개)
97,13,99,15g(3개)
98,13,277,15g(1/8개)
99,13,210,15g(1큰술)
100,13,113,3g(3×1cm)
101,13,84,3g(3×1cm)
102,13,106,3g(3×1cm)
103,13,265,약간
104,13,171,5g(1작은술)
105,13,312,15g(1큰술)
106,13,28,10g(1큰술)
107,13,129,5g(1작은술)
108,14,105,40g(1/5송이)
109,14,190,40g(1/3송이)
110,14,71,10g(2×1cm)
111,14,289,5g(1작은술)
112,14,285,5알
113,14,176,1/2알
114,14,324,약간
115,14,136,50g(3⅓큰술)
116,14,69,20g(1⅓큰술)
117,14,129,5g(1작은술)
118,14,28,약간
119,15,41,100g(1/2개)
120,15,119,100g(1/2개)
121,16,82,160g
122,16,188,4g(1작은술)
123,16,312,8g(1/2작은술)
124,16,303,200g(1/2개)
125,16,287,4g(1작은술)
